task,method,display,source_color,target_color,S_color,dE_improve
fe_027_butterflies_1_yellow,reflex,ReFLEx,black,yellow,8.596110339002546,8.55439646208228
fe_027_butterflies_1_yellow,flowedit_flux,FlowEdit-FLUX,black,yellow,4.96487749803296,4.594058362699428
fe_027_butterflies_1_yellow,fireflow,FireFlow,black,yellow,8.769040465070283,9.087908268273125
fe_027_butterflies_1_yellow,ours_flux,Ours-FLUX(texture),black,yellow,10.276015797530194,11.805527297853928
fe_027_butterflies_1_yellow,rf_solver_edit,RF-Solver-Edit,black,yellow,0.6178061218003942,0.9290167201640998
fe_027_butterflies_1_yellow,flowedit_sd3,FlowEdit-SD3,black,yellow,3.9619274061432046,6.042122289364073
fe_027_butterflies_1_yellow,splitflow_sd3,SplitFlow-SD3,black,yellow,4.638289478949587,7.467856585803219
fe_027_butterflies_1_yellow,ours_sd3,Ours-SD3(texture),black,yellow,15.469173373200585,18.373973591629948
fe_027_butterflies_1_yellow,otrf_enh_sd3,OT-RF enhanced-SD3,black,yellow,1.4480696120324297,3.482118736049614
fe_027_butterflies_1_yellow,drfs_sd3,DRFS-SD3,black,yellow,-6.525162167411283,0.28958663308884525
fe_027_butterflies_1_yellow,instruct_pix2pix,InstructPix2Pix,black,yellow,52.88260343290497,53.984759658011235
fe_027_butterflies_1_yellow,ledits_pp,LEDITS++,black,yellow,5.544367960405047,13.745106112582121
fe_028_butterfly_1_orange_butterfly,reflex,ReFLEx,black,orange,16.730703547911844,10.987391291461847
fe_028_butterfly_1_orange_butterfly,flowedit_flux,FlowEdit-FLUX,black,orange,7.789217548857556,7.058631802042001
fe_028_butterfly_1_orange_butterfly,fireflow,FireFlow,black,orange,4.016563759555554,3.944084374175546
fe_028_butterfly_1_orange_butterfly,ours_flux,Ours-FLUX(texture),black,orange,9.788522599671856,10.473052471954688
fe_028_butterfly_1_orange_butterfly,rf_solver_edit,RF-Solver-Edit,black,orange,1.263530547431282,1.8312127702145062
fe_028_butterfly_1_orange_butterfly,flowedit_sd3,FlowEdit-SD3,black,orange,5.161588351035205,6.0198892031118305
fe_028_butterfly_1_orange_butterfly,splitflow_sd3,SplitFlow-SD3,black,orange,4.681805544761965,5.462922750949318
