family_label,method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
T4_local_recolor,fireflow,FireFlow,19,19,19,19,0.2754937951502047,0.0209928351013284,0.1653105603825105,0.22650539796603353,0.27469830058122935,0.022065870855983934,0.8973845368937442,0.7242512483345834,0.9648666632802863,0.32428378415735143,0.18827208366833234,0.1692978320153136,0.07420420764308226,0.1039577767645058,0.06038022805985652,0.05899984722858981,0.7062590777061545,0.7648433572367618,0.35862892552425985,0.4239188746402138,0.5760811253597862
T4_local_recolor,flowedit_flux,FlowEdit (FLUX),19,19,19,19,0.2716638704663829,0.024890978085367305,0.20887357427885658,0.23270288580342344,0.2729790869512056,0.025413629255796735,0.9140027259525499,0.7412966505477303,0.9670276924183494,0.2734833477359069,0.1486366265698483,0.14052924053057245,0.0756076056706278,0.11094575100823452,0.05794863834192878,0.057453381093709094,0.755757921246146,0.8206495674032914,0.3578535381116365,0.38998965213173314,0.6100103478682669
T4_local_recolor,flowedit_sd3,FlowEdit (SD3),19,19,19,19,0.2729804704063817,0.026203507655545286,0.23070599687726875,0.2318855594647558,0.27338728308677673,0.027784104409970735,0.9284165564336275,0.758091959514116,0.9726632707997372,0.21395044028759003,0.10764240512722417,0.10262076880194639,0.06058105630309958,0.09495982959082253,0.04387626630303107,0.04350823350250721,0.7839038308289823,0.8413372886808295,0.3578535381116365,0.38998965213173314,0.6100103478682669
T4_local_recolor,instruct_pix2pix,InstructPix2Pix,19,19,19,19,0.2733924388885498,0.03469863612400858,0.2911877687040128,0.24708004609534615,0.2693950871103688,0.034129088646487185,0.9229692314800463,0.8553358285050643,0.9761743765128287,0.28843779548218373,0.22017543204128742,0.20952571612341622,0.13426246180346138,0.15221020187202253,0.11977202190380347,0.11920719427105628,0.7000874429290391,0.7380845578093278,0.35862892552425985,0.4239188746402138,0.5760811253597862
T4_local_recolor,ledits_pp,LEDITS++,19,19,19,19,0.2543321675375888,0.03142711284913515,0.1909581099293734,0.24674736590761887,0.24890428310946414,0.030944231309388812,0.8560183110990023,0.5705072111205051,0.9317560603744105,0.2935578979943928,0.16535623945099742,0.15133575244659656,0.0855685335240866,0.12642366870453484,0.0651835617854407,0.06390323715382501,0.6556603402317884,0.7263070705689882,0.35862892552425985,0.4239188746402138,0.5760811253597862
T4_local_recolor,otrf_enh_sd3,OT-RF enhanced (SD3),19,19,19,19,0.25644528787387044,0.003911568930274562,0.19527128809376768,0.2112709221087004,0.25584256649017334,0.005724033242777774,0.9649156237903395,0.877584347599431,0.9921489953994751,0.09179637071333434,0.04156554014863152,0.03948275061128171,0.032402943819761276,0.048696770675872504,0.024591814040353422,0.02441460178478768,0.8710523150200655,0.8983663602879173,0.3578535381116365,0.38998965213173314,0.6100103478682669
T4_local_recolor,ours_flux,Ours (FLUX),19,19,19,19,0.26024433029325383,0.008088918108689157,0.2194891004872165,0.21764239982554787,0.2585540813835044,0.010158715279478776,0.9649022911724291,0.8685435088057267,0.9987949666224027,0.07154152860963031,0.01353202504105866,0.012150347033687132,0.030289522519237118,0.05908045888339218,0.014250942064743293,0.014038552726177793,0.9052029398379171,0.9372310889394659,0.35862892552425985,0.4239188746402138,0.5760811253597862
T4_local_recolor,ours_sd3,Ours (SD3),19,19,19,19,0.26497837116843775,0.010550520137736672,0.18255430852112017,0.21976673995193682,0.26076211584241765,0.013683165374555085,0.9382444557390714,0.8317084845743681,0.9977891664755972,0.1331187437631582,0.026544075538894457,0.023837218146869225,0.041156534301607234,0.0896664016733044,0.017704073878887453,0.01745875010659036,0.8493735923205804,0.8981822603627255,0.35862892552425985,0.4239188746402138,0.5760811253597862
T4_local_recolor,reflex,ReFLEx,19,19,19,19,0.2752048882998918,0.027539079910830447,0.23103891626784676,0.23811702508675425,0.2776950378167002,0.029179671877308896,0.9091656145296598,0.7565220123843143,0.9806236467863384,0.2804382396371741,0.14459584231831527,0.1373687645322398,0.0687031810613055,0.11468418687582016,0.043594511519921456,0.04339123919214073,0.6377863433112205,0.7052558346798545,0.3578535381116365,0.38998965213173314,0.6100103478682669
T4_local_recolor,rf_solver_edit,RF-Solver-Edit,19,19,19,19,0.26148401985042974,0.00617305620720512,0.12375558138285812,0.21139484957644814,0.259102043352629,0.00554578163121876,0.9168471254800495,0.7868459522724152,0.9750172119391592,0.23918607478079043,0.13508808710857442,0.12150330694490358,0.048869759236511434,0.06935943819974598,0.038082381808444074,0.03779351799503753,0.7795203045904754,0.8169957148401361,0.35862892552425985,0.4239188746402138,0.5760811253597862
