method,method_display,n,complete_n,fixed_mask_n,local_clip_t_n,clip_t,clip_target_minus_source,clip_direction_similarity,local_clip_t,local_clip_t_full_prompt,local_clip_target_minus_source,clip_image_source_similarity,dino_source_similarity,bg_dino_source,lpips_full,lpips_outside,bg_lpips,source_l1,inside_l1,outside_l1,bg_l1,source_ssim_luma,bg_ssim_luma,eval_mask_area,dilated_edit_mask_area,bg_mask_area
flowedit_sd3_g100,flowedit_sd3_g100,33,33,33,33,0.3037025752392682,0.05321533300659873,0.2762980796678951,0.25061785994154034,0.3019713465914582,0.05696577420740417,0.8488844705350471,0.7665381729602814,0.9491706038966323,0.19765203175219623,0.09895487084533229,0.0936520891264081,0.054040631392236915,0.08127581091089682,0.04143808059620135,0.040972499402635025,0.8346849314234027,0.8850343480254664,0.38028517636385833,0.41224806236498285,0.5877519376350172
flowedit_sd3_g115,flowedit_sd3_g115,33,33,33,33,0.3044994839213111,0.05292123510982051,0.2708450115539811,0.2515871109384479,0.3028582330002929,0.05660606198238604,0.8442885135159348,0.7516420727426355,0.9431213284983779,0.22353586927056313,0.11532385020770809,0.10921087062381434,0.060267080016659966,0.08965438243114587,0.04676358096978881,0.0463123693497795,0.8162115349638605,0.86933822704084,0.38028517636385833,0.41224806236498285,0.5877519376350172
otrf_sd3_g070,otrf_sd3_g070,33,33,33,33,0.280723336519617,0.011773452614292954,0.22680396499168692,0.22833660651337018,0.27692962324980536,0.011565477107510422,0.9412406014673638,0.9365901242602955,0.9876247969540682,0.05496905123194059,0.023539702739623008,0.021969498124566268,0.022892369916944794,0.03338648426826253,0.017780667326102655,0.01763320103231253,0.9271920747808817,0.9451832915797378,0.38028517636385833,0.41224806236498285,0.5877519376350172
otrf_sd3_g085,otrf_sd3_g085,33,33,33,33,0.28379834285288147,0.018250324057810234,0.24714736409033788,0.23200564673452667,0.28019789764375397,0.019725122235038063,0.9319528323231321,0.9108565910296007,0.9820477763811747,0.07035368878507253,0.030589946002388995,0.028769198127768257,0.025869622149250725,0.038484527531898384,0.01983096230436455,0.019659200725568968,0.9178774146778853,0.9399786230289575,0.38028517636385833,0.41224806236498285,0.5877519376350172
otrf_sd3_g100,otrf_sd3_g100,33,33,33,33,0.29012321071191266,0.03162582218647003,0.27309306987533066,0.24074536155570636,0.28642933747985144,0.03138577938079834,0.9101611086816499,0.8822173196257967,0.9773288820729111,0.08530105949577058,0.037551251077798734,0.035379807436556526,0.028789413584904236,0.04312037191156185,0.02201137945733287,0.02182835340499878,0.9083588521761433,0.9340425386573329,0.38028517636385833,0.41224806236498285,0.5877519376350172
otrf_sd3_g115,otrf_sd3_g115,33,33,33,33,0.29591937588922906,0.040325026620518074,0.2850810144886826,0.2462417749744473,0.29312242432074115,0.04332286029150992,0.8971910530870612,0.8620460620432189,0.9738894628755974,0.09991094729665553,0.04466694386704176,0.04213538324234612,0.03163517782972618,0.04751777011110927,0.024218656517791027,0.024028887069135002,0.8990622781213659,0.9281806440064402,0.38028517636385833,0.41224806236498285,0.5877519376350172
reflex_g070,reflex_g070,33,33,33,33,0.3039216941053217,0.05185157918568813,0.26796296938802255,0.25250716733210016,0.3027997450395064,0.05606417041836363,0.856743026863445,0.7707938168084982,0.9631179824019923,0.23669175047314528,0.11785516935880437,0.11140796592967077,0.05734591722262628,0.08953065887996645,0.0382646576247432,0.03779491164128889,0.7197426190023307,0.7808674402309187,0.38028517636385833,0.41224806236498285,0.5877519376350172
reflex_g085,reflex_g085,33,33,33,33,0.30730586611863336,0.055955059149048546,0.28103170764039864,0.2546087237018527,0.30633868186762836,0.0603243171265631,0.8496259089672205,0.7597491217382026,0.9627991445136793,0.24466549921216388,0.1218597236456293,0.11484826421082923,0.060084700019973694,0.09339637726996884,0.03969090186398138,0.03918362089968992,0.7136221144036305,0.7764762351007173,0.38028517636385833,0.41224806236498285,0.5877519376350172
reflex_g100,reflex_g100,33,33,33,33,0.3072282617742365,0.05718632448803295,0.269065525156982,0.2549737615115715,0.30507945291923755,0.060374460888631416,0.8330242308703336,0.7583162680719838,0.9592774311701456,0.25627269437818817,0.12846796496799498,0.12135532537870335,0.06326022879643874,0.09986024169307767,0.04120102050629529,0.040655847949286304,0.7074282483549225,0.7736457947528723,0.38028517636385833,0.41224806236498285,0.5877519376350172
reflex_g115,reflex_g115,33,33,33,33,0.30827220913135644,0.058361140164462005,0.27134080631940655,0.25541386008262634,0.3059722428972071,0.06218712641434236,0.8311646689068187,0.7506745371854666,0.9572510881857439,0.2672130169742035,0.13421811843573145,0.12671999187406266,0.06622544681709824,0.10535781853126758,0.04283577646834381,0.04225018767244888,0.7013719676773685,0.7693349791295601,0.38028517636385833,0.41224806236498285,0.5877519376350172
